"Cult" "Eth" "Treatment" "Hue4" "Hue8" "Chroma4" "Chroma8" "Chloro4" "Chloro8"
"1" "1" "yes" "control" 123.07 96.79 39.19 18.9 8.656 5.045
"2" "1" "yes" "control" 124.15 110.77 34.8 27.86 10.488 8.39
"3" "1" "yes" "control" 123.84 120.88 33.17 26.57 9.17 7.587
"4" "1" "yes" "water" 125.54 103.35 34.45 23 8.177 7.143
"5" "1" "yes" "water" 127.47 120.1 32.47 31.57 9.808 6.309
"6" "1" "yes" "water" 124.04 119.92 33.73 28.13 12.357 6.945
"7" "1" "yes" "prod1" 131.78 122.45 25.08 34.53 11.982 9.421
"8" "1" "yes" "prod1" 131.6 125.69 24.44 32.41 11.137 10.234
"9" "1" "yes" "prod1" 131.02 131.52 23.59 26.2 10.952 13.667
"10" "1" "yes" "prod2" 128 121.23 29.03 37.14 9.168 10.039
"11" "1" "yes" "prod2" 129.61 125.25 27.03 34 9.282 8.339
"12" "1" "yes" "prod2" 130.98 127.72 23.59 30.71 14.607 9.277
"13" "1" "yes" "prod3" 129.18 124.3 24.52 36.35 7.643 8.556
"14" "1" "yes" "prod3" 132.27 127.54 24.26 31.2 11.929 10.623
"15" "1" "yes" "prod3" 132.81 131.95 23.33 24.54 13.268 14.103
"16" "1" "no" "control" 132.82 124.96 23.52 33.4 13.184 8.125
"17" "1" "no" "control" 131.93 130.46 23.1 24.6 12.475 10.517
"18" "1" "no" "control" 127.79 131.47 29.5 24.41 11.889 11.358
"19" "1" "no" "water" 130.16 126.59 27.71 28.88 12.814 9.698
"20" "1" "no" "water" 132.15 129.85 24.46 27.7 11.298 10.962
"21" "1" "no" "water" 128.91 129.35 23.73 24.16 12.837 11.256
"22" "1" "no" "prod1" 129.43 128.9 21.51 28.66 11.781 10.299
"23" "1" "no" "prod1" 131.04 130.24 22.35 24.4 16.88 11.432
"24" "1" "no" "prod1" 130.11 133.82 23.68 23.18 12.581 14.625
"25" "1" "no" "prod2" 129.77 127.91 24.44 25.2 12.436 10.969
"26" "1" "no" "prod2" 129.14 129.12 24.31 24.26 11.412 11.62
"27" "1" "no" "prod2" 130.02 129.72 23.91 23.65 13.986 12.855
"28" "1" "no" "prod3" 132.29 129.79 23.92 26.75 12.79 10.951
"29" "1" "no" "prod3" 132.6 130.69 24.16 24.16 12.386 11.836
"30" "1" "no" "prod3" 130.37 132.39 21.83 23.51 14.055 13.138
"31" "2" "yes" "control" 116.7 85.14 36.02 17 7.926 5.668
"32" "2" "yes" "control" 127.6 99.61 36.52 25.96 8.391 7.005
"33" "2" "yes" "control" 123.83 122.98 31.44 38.91 10.274 6.607
"34" "2" "yes" "water" 119.7 92.54 40.19 20.34 7.176 6.256
"35" "2" "yes" "water" 126.06 110.34 34.29 25.72 9.98 6.187
"36" "2" "yes" "water" 124.78 122.21 33.72 41.64 9.654 7.811
"37" "2" "yes" "prod1" 128.47 119.71 28.04 36.21 9.044 9.828
"38" "2" "yes" "prod1" 130.46 130.61 27.12 25.92 8.88 10.217
"39" "2" "yes" "prod1" 131.64 129.45 27.22 29.5 12.034 8.149
"40" "2" "yes" "prod2" 126.87 110.52 30.93 35.73 7.818 7.511
"41" "2" "yes" "prod2" 126.64 123.88 30.1 38.4 11.273 9.677
"42" "2" "yes" "prod2" 130.8 130.06 29.08 26.38 8.906 9.01
"43" "2" "yes" "prod3" 126.94 119.17 30.12 40.52 8.239 8.662
"44" "2" "yes" "prod3" 130.82 127.84 26.13 29.13 11.722 9.042
"45" "2" "yes" "prod3" 130.97 131.63 24.31 23.92 11.473 9.387
"46" "2" "no" "control" 124.41 120.08 32.12 41.44 9.538 8.486
"47" "2" "no" "control" 129.91 128.82 27.82 30.07 10.029 8.265
"48" "2" "no" "control" 127.83 128.42 29.85 30.16 9.768 9.497
"49" "2" "no" "water" 126.32 122.53 32.85 40.67 8.739 7.833
"50" "2" "no" "water" 130.43 123.89 26.27 36.09 9.74 7.967
"51" "2" "no" "water" 130.3 131.18 27.05 27.2 9.9 10.997
"52" "2" "no" "prod1" 127.47 127.66 27.31 32.11 10.7 11.318
"53" "2" "no" "prod1" 130.46 128.62 28.35 28.14 11.925 12.934
"54" "2" "no" "prod1" 130 131.66 25.35 25.59 10.121 11.169
"55" "2" "no" "prod2" 127.06 125.25 27.32 33.99 11.044 8.542
"56" "2" "no" "prod2" 129.53 126.43 24.86 30.14 10.427 12.178
"57" "2" "no" "prod2" 130.64 128.17 27.8 27.9 10.01 9.11
"58" "2" "no" "prod3" 127.26 126.5 26.15 29.87 11.174 11.448
"59" "2" "no" "prod3" 127.62 130.21 26.53 28.5 11.059 11.687
"60" "2" "no" "prod3" 131.41 128.19 27.43 27.53 9.807 10.68
"61" "3" "yes" "control" 122.48 75.17 36.32 17.2 7.242 3.315
"62" "3" "yes" "control" 124.2 78.82 35.99 20.63 7.564 4.118
"63" "3" "yes" "control" 122.6 86.82 40.92 22.53 6.213 4.284
"64" "3" "yes" "water" 123.75 75.35 36.34 17.88 6.359 3.233
"65" "3" "yes" "water" 126.56 83.99 33.86 20.61 8.493 4.395
"66" "3" "yes" "water" 121.44 83.61 42.99 23.12 5.157 4.502
"67" "3" "yes" "prod1" 130.34 132.81 24.83 20.49 10.769 10.306
"68" "3" "yes" "prod1" 129.48 130.22 26.39 27.52 10.368 9.877
"69" "3" "yes" "prod1" 128.49 126.94 27.87 36.38 7.704 9.022
"70" "3" "yes" "prod2" 129.86 127.18 26.12 29.14 10.366 8.19
"71" "3" "yes" "prod2" 129.24 126.17 27.33 31.6 9.733 9.023
"72" "3" "yes" "prod2" 126.82 125.65 35.88 34.71 8.695 9.618
"73" "3" "yes" "prod3" 131.48 129.53 21.99 24.85 9.828 9.862
"74" "3" "yes" "prod3" 129.95 127.29 26.54 31.27 9.094 9.624
"75" "3" "yes" "prod3" 128.84 127.64 30.5 30.05 10.657 10.502
"76" "3" "no" "control" 129.84 128.83 24.73 30.15 11.429 10.182
"77" "3" "no" "control" 129.53 128.15 27.96 28.4 9.596 8.72
"78" "3" "no" "control" 128.1 127.19 32.62 35.11 10.971 8.072
"79" "3" "no" "water" 131.26 129.22 22.9 30.61 11.209 10.336
"80" "3" "no" "water" 128.5 130.05 30.25 29.64 10.174 8.947
"81" "3" "no" "water" 128.12 128.12 30.44 34.59 10.486 8.511
"82" "3" "no" "prod1" 130.69 130.63 21.54 23.96 11.039 10.111
