"Soil" "Fertilizer" "Weight"
"1" "S1" "control" 0.49
"2" "S1" "control" 0.31
"3" "S1" "control" 0.21
"4" "S1" "control" 1.1
"5" "S2" "control" 0.54
"6" "S2" "control" 0.2
"7" "S2" "control" 0.13
"8" "S2" "control" 1.01
"9" "S3" "control" 2.71
"10" "S3" "control" 2
"11" "S3" "control" 1.95
"12" "S3" "control" 2.62
"13" "S1" "cal.phos" 3.89
"14" "S1" "cal.phos" 3.78
"15" "S1" "cal.phos" 3.03
"16" "S1" "cal.phos" 3.81
"17" "S2" "cal.phos" 2.47
"18" "S2" "cal.phos" 2.3
"19" "S2" "cal.phos" 1.64
"20" "S2" "cal.phos" 2.5
"21" "S3" "cal.phos" 2.22
"22" "S3" "cal.phos" 2.4
"23" "S3" "cal.phos" 1.93
"24" "S3" "cal.phos" 2.88
"25" "S1" "pot.metaphos" 3.52
"26" "S1" "pot.metaphos" 3.8
"27" "S1" "pot.metaphos" 2.96
"28" "S1" "pot.metaphos" 3.81
"29" "S2" "pot.metaphos" 2.18
"30" "S2" "pot.metaphos" 1.9
"31" "S2" "pot.metaphos" 1.49
"32" "S2" "pot.metaphos" 2.42
"33" "S3" "pot.metaphos" 3.01
"34" "S3" "pot.metaphos" 3.14
"35" "S3" "pot.metaphos" 2.78
"36" "S3" "pot.metaphos" 3.72
"37" "S1" "magn.phos" 3.67
"38" "S1" "magn.phos" 4.41
"39" "S1" "magn.phos" 3.76
"40" "S1" "magn.phos" 4.4
"41" "S2" "magn.phos" 1.66
"42" "S2" "magn.phos" 1.82
"43" "S2" "magn.phos" 1.64
"44" "S2" "magn.phos" 2.49
"45" "S3" "magn.phos" 2.19
"46" "S3" "magn.phos" 2.69
"47" "S3" "magn.phos" 2.08
"48" "S3" "magn.phos" 2.92
